_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.4930284970594432	0.1377974632051152	NA	NA	nobound	1325	all	10_10	1	no	5000	5000	all	4_4	218	heffen	0.22030128775031033	BOW
heffen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.2076980702195497	0.05055040002145207	NA	NA	nobound	1325	all	10_10	1	no	FOC	702	nav	4_4	218	heffen	0.17277985752484465	BOW
heffen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.23305511892635847	0.068093749038463	NA	NA	nobound	1325	all	10_10	1	no	FOC	1325	all	4_4	218	heffen	0.1759270608430135	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.0581288013360113	-0.03869423635273622	NA	NA	nobound	322	lex	5_5	1	weight	5000	5000	nav	4_4	217	heffen	0.16577053335527842	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.135916261377472	-0.07351012753357353	NA	NA	nobound	322	lex	5_5	1	weight	5000	5000	all	4_4	217	heffen	0.20614927738266275	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06823203549377306	-0.038429410387844795	NA	NA	nobound	322	lex	5_5	1	weight	FOC	221	nav	4_4	217	heffen	0.14326734703524963	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04834094491321524	-0.03795434028491929	NA	NA	nobound	322	lex	5_5	1	weight	FOC	322	all	4_4	217	heffen	0.14660204091704226	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.02533014648525407	-0.05419107228164684	NA	NA	nobound	322	lex	5_5	1	selection	5000	5000	nav	4_4	217	heffen	0.18916897213341222	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.1909291863891273	-0.06849891795664802	NA	NA	nobound	322	lex	5_5	1	selection	5000	5000	all	4_4	217	heffen	0.22807113173250676	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.062191074064066314	-0.036471263971376	NA	NA	nobound	322	lex	5_5	1	selection	FOC	221	nav	4_4	217	heffen	0.15687173033697405	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.040883815791032514	-0.034093842921938476	NA	NA	nobound	322	lex	5_5	1	selection	FOC	322	all	4_4	217	heffen	0.16086357196567366	BOW
heffen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.10323043723390866	-0.051746088252847225	NA	NA	nobound	515	lex	5_5	1	no	5000	5000	nav	4_4	218	heffen	0.19815544728805937	BOW
heffen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.2683496306523813	-0.04962750376530401	NA	NA	nobound	515	lex	5_5	1	no	5000	5000	all	4_4	218	heffen	0.23340373412739365	BOW
heffen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.07108511767630499	-0.03076128927885723	NA	NA	nobound	515	lex	5_5	1	no	FOC	375	nav	4_4	218	heffen	0.18649875968341845	BOW
heffen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.036178168190304366	-0.02587063552934249	NA	NA	nobound	515	lex	5_5	1	no	FOC	515	all	4_4	218	heffen	0.18676197995819502	BOW
heffen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.04821217838686598	-0.03297863587878123	NA	NA	nobound	427	all	5_5	1	weight	5000	5000	nav	4_4	218	heffen	0.17076915493072464	BOW
heffen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.13882630789383615	-0.03670998235718003	NA	NA	nobound	427	all	5_5	1	weight	5000	5000	all	4_4	218	heffen	0.2101422635667876	BOW
heffen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06500292454738979	-0.030247307524762273	NA	NA	nobound	427	all	5_5	1	weight	FOC	221	nav	4_4	218	heffen	0.13750996275356578	BOW
heffen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.053438074856413324	-0.02842971017595409	NA	NA	nobound	427	all	5_5	1	weight	FOC	427	all	4_4	218	heffen	0.1500623655473143	BOW
heffen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.16384873259476082	-0.03488304425474519	NA	NA	nobound	427	all	5_5	1	selection	5000	5000	nav	4_4	218	heffen	0.22202052751471832	BOW
heffen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.20803068284007803	-0.018244548178633024	NA	NA	nobound	427	all	5_5	1	selection	5000	5000	all	4_4	218	heffen	0.23202665310381002	BOW
heffen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.09126900885842572	-0.016453938027714266	NA	NA	nobound	427	all	5_5	1	selection	FOC	221	nav	4_4	218	heffen	0.16247020199934156	BOW
heffen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.07276270009544278	-0.009302240780913117	NA	NA	nobound	427	all	5_5	1	selection	FOC	427	all	4_4	218	heffen	0.1752772532919598	BOW
heffen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.22116211393980562	-0.02358995548984859	NA	NA	nobound	698	all	5_5	1	no	5000	5000	nav	4_4	218	heffen	0.22669646529504464	BOW
heffen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.4243023645686807	-0.014154370087295495	NA	NA	nobound	698	all	5_5	1	no	5000	5000	all	4_4	218	heffen	0.23995369317332516	BOW
heffen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.11708762071148565	-0.001392115183721854	NA	NA	nobound	698	all	5_5	1	no	FOC	375	nav	4_4	218	heffen	0.18596983729663444	BOW
