_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
harden.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.05110473644871907	-0.15219821711894568	NA	NA	BOW	nobound	556	all	10_10	1	selection	FOC	556	all	4_4	279	harden	0.20707926046244718
harden.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.23440508328806003	-0.18764925541475777	NA	NA	BOW	nobound	1444	all	10_10	1	no	5000	5000	nav	4_4	279	harden	0.25802218696202794
harden.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.5718007643538808	0.13072743055241473	NA	NA	BOW	nobound	1444	all	10_10	1	no	5000	5000	all	4_4	279	harden	0.27345152284578295
harden.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.20889506100991054	-0.21472387559375497	NA	NA	BOW	nobound	1444	all	10_10	1	no	FOC	790	nav	4_4	279	harden	0.23860023527192004
harden.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.22244733866909325	-0.2122318317639437	NA	NA	BOW	nobound	1444	all	10_10	1	no	FOC	1444	all	4_4	279	harden	0.23482553779765922
harden.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.08156872415337732	-0.010677539765869788	NA	NA	BOW	nobound	349	lex	5_5	1	weight	5000	5000	nav	4_4	278	harden	0.22873071352644841
harden.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1984402355478563	0.031630850910880706	NA	NA	BOW	nobound	349	lex	5_5	1	weight	5000	5000	all	4_4	278	harden	0.27508281223498077
harden.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10691469297810886	-0.07353447406754035	NA	NA	BOW	nobound	349	lex	5_5	1	weight	FOC	237	nav	4_4	278	harden	0.24028482935589296
harden.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.06032406516379705	-0.041090630062731004	NA	NA	BOW	nobound	349	lex	5_5	1	weight	FOC	349	all	4_4	278	harden	0.2332679591846734
harden.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.025597798184591677	0.04849569905938626	NA	NA	BOW	nobound	349	lex	5_5	1	selection	5000	5000	nav	4_4	278	harden	0.2314455803109924
harden.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.19721246567915995	0.11931274565859723	NA	NA	BOW	nobound	349	lex	5_5	1	selection	5000	5000	all	4_4	278	harden	0.27628573762288255
harden.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.053618021345136185	-0.016677268232785997	NA	NA	BOW	nobound	349	lex	5_5	1	selection	FOC	237	nav	4_4	278	harden	0.24296993505203435
harden.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.005719511649347826	0.00800736330626481	NA	NA	BOW	nobound	349	lex	5_5	1	selection	FOC	349	all	4_4	278	harden	0.2234008676693144
harden.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.05527402016699619	0.05332760871369465	NA	NA	BOW	nobound	515	lex	5_5	1	no	5000	5000	nav	4_4	279	harden	0.24182677593660082
harden.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.29106697628327766	0.13494328889035795	NA	NA	BOW	nobound	515	lex	5_5	1	no	5000	5000	all	4_4	279	harden	0.28169628022456517
harden.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.08830165454590358	-0.016658879655280515	NA	NA	BOW	nobound	515	lex	5_5	1	no	FOC	362	nav	4_4	279	harden	0.2430996202205785
harden.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.03383675087058718	0.008486237797907052	NA	NA	BOW	nobound	515	lex	5_5	1	no	FOC	515	all	4_4	279	harden	0.2300765216705909
harden.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.009319141757598362	-0.047630214484456944	NA	NA	BOW	nobound	462	all	5_5	1	weight	5000	5000	nav	4_4	279	harden	0.21684378755579795
harden.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.20521853887122096	0.024089779834571105	NA	NA	BOW	nobound	462	all	5_5	1	weight	5000	5000	all	4_4	279	harden	0.2791055477030667
harden.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06306885132902029	-0.10936687933123973	NA	NA	BOW	nobound	462	all	5_5	1	weight	FOC	237	nav	4_4	279	harden	0.23109160653490937
harden.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.02701746822931518	-0.07230846942636597	NA	NA	BOW	nobound	462	all	5_5	1	weight	FOC	462	all	4_4	279	harden	0.21727622706826927
harden.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.04738189116212052	-0.008590808423069416	NA	NA	BOW	nobound	462	all	5_5	1	selection	5000	5000	nav	4_4	279	harden	0.2032256607779772
harden.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.25971317685997763	0.13455949844499554	NA	NA	BOW	nobound	462	all	5_5	1	selection	5000	5000	all	4_4	279	harden	0.2690583541492735
