_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
geestig.foc5.all.selection.bound.min1.soc4.nav.FOC	0.21997845357706033	0.2824918665935872	bound	all	5_5	selection	518	1	FOC	518	nav	4_4	273	geestig	0.23127276344079367
geestig.foc5.all.selection.bound.min1.soc10.nav.5000	0.1879311277575614	0.1863633139102884	bound	all	5_5	selection	518	1	5000	5000	nav	10_10	273	geestig	0.24763535888472527
geestig.foc5.all.selection.bound.min1.soc10.nav.10000	0.19094879940425102	0.21458305103538156	bound	all	5_5	selection	518	1	10000	10000	nav	10_10	273	geestig	0.24686246130467712
geestig.foc5.all.selection.bound.min1.soc10.nav.FOC	0.1440083942950824	0.23276765197045998	bound	all	5_5	selection	518	1	FOC	518	nav	10_10	273	geestig	0.22592469108119026
geestig.foc5.all.selection.bound.min1.soc4.all.5000	0.2777816684436245	0.23904236165965415	bound	all	5_5	selection	518	1	5000	5000	all	4_4	273	geestig	0.2454376028052237
geestig.foc5.all.selection.bound.min1.soc4.all.10000	0.28022290295543206	0.2554327008411438	bound	all	5_5	selection	518	1	10000	10000	all	4_4	273	geestig	0.2455752017841401
geestig.foc5.all.selection.bound.min1.soc4.all.FOC	0.2199784514785671	0.28249186748210264	bound	all	5_5	selection	518	1	FOC	518	all	4_4	273	geestig	0.23127276344079367
geestig.foc5.all.selection.bound.min1.soc10.all.5000	0.20463768564805382	0.18680845101102672	bound	all	5_5	selection	518	1	5000	5000	all	10_10	273	geestig	0.2434629243168399
geestig.foc5.all.selection.bound.min1.soc10.all.10000	0.17628746549225335	0.19430429154411416	bound	all	5_5	selection	518	1	10000	10000	all	10_10	273	geestig	0.24461701171210826
geestig.foc5.all.selection.bound.min1.soc10.all.FOC	0.14400839429508366	0.2327676519704608	bound	all	5_5	selection	518	1	FOC	518	all	10_10	273	geestig	0.22592469108119026
geestig.foc5.all.no.bound.min1.soc4.nav.5000	0.27806320953091385	0.24626585879006962	bound	all	5_5	no	518	1	5000	5000	nav	4_4	273	geestig	0.24727254598621143
geestig.foc5.all.no.bound.min1.soc4.nav.10000	0.31063815192765387	0.2754465547561116	bound	all	5_5	no	518	1	10000	10000	nav	4_4	273	geestig	0.24378107336147845
geestig.foc5.all.no.bound.min1.soc4.nav.FOC	0.21997845366856084	0.28249186081393984	bound	all	5_5	no	518	1	FOC	518	nav	4_4	273	geestig	0.23127276344079367
geestig.foc5.all.no.bound.min1.soc10.nav.5000	0.1879311282012425	0.18636331253386354	bound	all	5_5	no	518	1	5000	5000	nav	10_10	273	geestig	0.24763535888472527
geestig.foc5.all.no.bound.min1.soc10.nav.10000	0.1909487994042511	0.21458305103538142	bound	all	5_5	no	518	1	10000	10000	nav	10_10	273	geestig	0.24686246130467712
geestig.foc5.all.no.bound.min1.soc10.nav.FOC	0.14400839429508366	0.2327676519704608	bound	all	5_5	no	518	1	FOC	518	nav	10_10	273	geestig	0.22592469108119026
geestig.foc5.all.no.bound.min1.soc4.all.5000	0.2777816652519078	0.239042362553973	bound	all	5_5	no	518	1	5000	5000	all	4_4	273	geestig	0.2454376028052237
geestig.foc5.all.no.bound.min1.soc4.all.10000	0.2802229081604251	0.2554326941446203	bound	all	5_5	no	518	1	10000	10000	all	4_4	273	geestig	0.2455752017841401
geestig.foc5.all.no.bound.min1.soc4.all.FOC	0.21997845426246343	0.2824918604469459	bound	all	5_5	no	518	1	FOC	518	all	4_4	273	geestig	0.23127276344079367
geestig.foc5.all.no.bound.min1.soc10.all.5000	0.20463776121643135	0.1868080524592052	bound	all	5_5	no	518	1	5000	5000	all	10_10	273	geestig	0.2434629243168399
geestig.foc5.all.no.bound.min1.soc10.all.10000	0.17628740038705498	0.1943040530729372	bound	all	5_5	no	518	1	10000	10000	all	10_10	273	geestig	0.24461701171210826
geestig.foc5.all.no.bound.min1.soc10.all.FOC	0.14400839429508358	0.2327676519704607	bound	all	5_5	no	518	1	FOC	518	all	10_10	273	geestig	0.22592469108119026
