filename	lemma	twcorpus	twppmi	twllr	twL	twR	socccorpus	soccppmi	soccllr	soccL	soccR	sample	tokenL	tokenR	stress
COHA.ppmi3.ll1.Semcor.ppmi1.ll1	church	COHA	3	1	10	10	Semcor	1	1	10	10	129	10	10	0.229083491112318
COHA.ppmi3.ll1.Semcor.ppmi2.ll0	church	COHA	3	1	10	10	Semcor	2	0	10	10	129	10	10	0.22077961830541
COHA.ppmi3.ll1.Semcor.ppmi2.ll1	church	COHA	3	1	10	10	Semcor	2	1	10	10	129	10	10	0.223350108682354
Semcor.ppmi0.ll0.COHA.ppmi0.ll0	church	Semcor	0	0	10	10	COHA	0	0	10	10	292	10	10	0.23598598921536
Semcor.ppmi0.ll0.COHA.ppmi0.ll1	church	Semcor	0	0	10	10	COHA	0	1	10	10	292	10	10	0.241275463939808
Semcor.ppmi0.ll0.COHA.ppmi1.ll0	church	Semcor	0	0	10	10	COHA	1	0	10	10	292	10	10	0.241971377153851
Semcor.ppmi0.ll0.COHA.ppmi1.ll1	church	Semcor	0	0	10	10	COHA	1	1	10	10	292	10	10	0.241971377153851
Semcor.ppmi0.ll0.COHA.ppmi2.ll0	church	Semcor	0	0	10	10	COHA	2	0	10	10	292	10	10	0.25016328662029
Semcor.ppmi0.ll0.COHA.ppmi2.ll1	church	Semcor	0	0	10	10	COHA	2	1	10	10	292	10	10	0.250121701846191
Semcor.ppmi0.ll0.Semcor.ppmi0.ll0	church	Semcor	0	0	10	10	Semcor	0	0	10	10	292	10	10	0.270071248111314
Semcor.ppmi0.ll0.Semcor.ppmi0.ll1	church	Semcor	0	0	10	10	Semcor	0	1	10	10	292	10	10	0.275613488751143
Semcor.ppmi0.ll0.Semcor.ppmi1.ll0	church	Semcor	0	0	10	10	Semcor	1	0	10	10	292	10	10	0.278200041053868
Semcor.ppmi0.ll0.Semcor.ppmi1.ll1	church	Semcor	0	0	10	10	Semcor	1	1	10	10	292	10	10	0.278488397726611
Semcor.ppmi0.ll0.Semcor.ppmi2.ll0	church	Semcor	0	0	10	10	Semcor	2	0	10	10	292	10	10	0.298012223998877
