cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_2	ann_1	votes
hoekig/adj/nrc_handelsblad_20000531_27/785/L2	hoekig/adj/nrc_handelsblad_20000531_27/785	L2	,	punct	,/punct	,	True	L	3	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L3	hoekig/adj/nrc_handelsblad_20000531_27/785	L3	zie	verb	zie/verb	zien	True	L	4	0.057503212000000005	555838	28	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L4	hoekig/adj/nrc_handelsblad_20000531_27/785	L4	te	comp	te/comp	te	True	L	5	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L5	hoekig/adj/nrc_handelsblad_20000531_27/785	L5	om	comp	om/comp	om	True	L	6	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L6	hoekig/adj/nrc_handelsblad_20000531_27/785	L6	aantrekkelijk	adj	aantrekkelijk/adj	aantrekkelijker	True	L	7	1.1240017	20536	3	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L7	hoekig/adj/nrc_handelsblad_20000531_27/785	L7	ben	verb	ben/verb	was	True	L	8	0.07379648	9938754	508	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L8	hoekig/adj/nrc_handelsblad_20000531_27/785	L8	Licht	name	Licht/name	Licht	True	L	9	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L9	hoekig/adj/nrc_handelsblad_20000531_27/785	L9	Blauwe	name	Blauwe/name	Blauwe	True	L	10	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L10	hoekig/adj/nrc_handelsblad_20000531_27/785	L10	het	det	het/det	Het	True	L	11	-0.1670006	11650779	468	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L11	hoekig/adj/nrc_handelsblad_20000531_27/785	L11	sentence_delimiter	none	none	<sentence>	none	L	12	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L12	hoekig/adj/nrc_handelsblad_20000531_27/785	L12	sentence_delimiter	none	none	</sentence>	none	L	13	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L13	hoekig/adj/nrc_handelsblad_20000531_27/785	L13	.	punct	./punct	.	False	L	14	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L14	hoekig/adj/nrc_handelsblad_20000531_27/785	L14	besta	verb	besta/verb	bestaan	False	L	15	-0.58650386	151384	4	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L15	hoekig/adj/nrc_handelsblad_20000531_27/785	L15	lang	adj	lang/adj	lang	False	L	16	0.50287217	318300	25	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/R0	hoekig/adj/nrc_handelsblad_20000531_27/785	R0	tafel	noun	tafel/noun	tafel	True	R	1	1.0402681999999999	44587	6	TRUE	TRUE	TRUE	3
hoekig/adj/nrc_handelsblad_20000531_27/785/R1	hoekig/adj/nrc_handelsblad_20000531_27/785	R1	met	prep	met/prep	met	True	R	2	0.64480525	4230163	383	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/R2	hoekig/adj/nrc_handelsblad_20000531_27/785	R2	de	det	de/det	de	True	R	3	-0.08141816	28074105	1228	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/R3	hoekig/adj/nrc_handelsblad_20000531_27/785	R3	kleur_vlak	noun	kleur_vlak/noun	kleurvlakken	True	R	4	5.3231378	204	2	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/R4	hoekig/adj/nrc_handelsblad_20000531_27/785	R4	en	vg	en/vg	en	True	R	5	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/R5	hoekig/adj/nrc_handelsblad_20000531_27/785	R5	de	det	de/det	de	True	R	6	-0.08141816	28074105	1228	FALSE	FALSE	FALSE	0
