_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hoekig.foc5.nav.selection.bound.min1.soc10.all.FOC	-0.25191071966881995	-0.023748439807016578	bound	nav	5_5	selection	577	1	FOC	577	all	10_10	275	hoekig	0.2270920012958707
hoekig.foc5.nav.no.bound.min1.soc4.nav.5000	-0.30454231229669776	-0.04646387270284239	bound	nav	5_5	no	577	1	5000	5000	nav	4_4	275	hoekig	0.2450788353595545
hoekig.foc5.nav.no.bound.min1.soc4.nav.10000	-0.3304256065424764	-0.028198788975539076	bound	nav	5_5	no	577	1	10000	10000	nav	4_4	275	hoekig	0.23654926784563934
hoekig.foc5.nav.no.bound.min1.soc4.nav.FOC	-0.28844311506843767	-0.0020002894121238946	bound	nav	5_5	no	577	1	FOC	577	nav	4_4	275	hoekig	0.23903237526577834
hoekig.foc5.nav.no.bound.min1.soc10.nav.5000	-0.2632771783342892	-0.05266771850492763	bound	nav	5_5	no	577	1	5000	5000	nav	10_10	275	hoekig	0.23708672902514902
hoekig.foc5.nav.no.bound.min1.soc10.nav.10000	-0.2652182581307907	-0.015187251621451955	bound	nav	5_5	no	577	1	10000	10000	nav	10_10	275	hoekig	0.2324338525483975
hoekig.foc5.nav.no.bound.min1.soc10.nav.FOC	-0.25191071966881995	-0.023748439807016387	bound	nav	5_5	no	577	1	FOC	577	nav	10_10	275	hoekig	0.2270920012958707
hoekig.foc5.nav.no.bound.min1.soc4.all.5000	-0.3203323536075677	-0.06549314710177986	bound	nav	5_5	no	577	1	5000	5000	all	4_4	275	hoekig	0.25104310062351354
hoekig.foc5.nav.no.bound.min1.soc4.all.10000	-0.3225702548153473	-0.032231390837561415	bound	nav	5_5	no	577	1	10000	10000	all	4_4	275	hoekig	0.24298935713980924
hoekig.foc5.nav.no.bound.min1.soc4.all.FOC	-0.28844311506843767	-0.0020002894121237845	bound	nav	5_5	no	577	1	FOC	577	all	4_4	275	hoekig	0.23903237526577834
hoekig.foc5.nav.no.bound.min1.soc10.all.5000	-0.2825982066156777	-0.07708605621851965	bound	nav	5_5	no	577	1	5000	5000	all	10_10	275	hoekig	0.24259728056669405
hoekig.foc5.nav.no.bound.min1.soc10.all.10000	-0.26637919312712866	-0.028513131663843488	bound	nav	5_5	no	577	1	10000	10000	all	10_10	275	hoekig	0.24030093578226666
hoekig.foc5.nav.no.bound.min1.soc10.all.FOC	-0.25191071966881995	-0.023748439807016436	bound	nav	5_5	no	577	1	FOC	577	all	10_10	275	hoekig	0.2270920012958707
hoekig.foc5.all.weight.bound.min1.soc4.nav.5000	-0.1461899840971724	0.1812631981498154	bound	all	5_5	weight	650	1	5000	5000	nav	4_4	275	hoekig	0.2526415254244865
hoekig.foc5.all.weight.bound.min1.soc4.nav.10000	-0.16034318813972023	0.22093654469366905	bound	all	5_5	weight	650	1	10000	10000	nav	4_4	275	hoekig	0.24862902075575216
hoekig.foc5.all.weight.bound.min1.soc4.nav.FOC	-0.1716382119242842	0.2092803042571901	bound	all	5_5	weight	650	1	FOC	650	nav	4_4	275	hoekig	0.24447475068782115
hoekig.foc5.all.weight.bound.min1.soc10.nav.5000	-0.15922298677048588	0.1407636483370117	bound	all	5_5	weight	650	1	5000	5000	nav	10_10	275	hoekig	0.24267778733701573
hoekig.foc5.all.weight.bound.min1.soc10.nav.10000	-0.1741271790091626	0.16621527562838737	bound	all	5_5	weight	650	1	10000	10000	nav	10_10	275	hoekig	0.24410732719962264
hoekig.foc5.all.weight.bound.min1.soc10.nav.FOC	-0.18863550283058741	0.18707437467717644	bound	all	5_5	weight	650	1	FOC	650	nav	10_10	275	hoekig	0.2329113163915059
hoekig.foc5.all.weight.bound.min1.soc4.all.5000	-0.1512736172226571	0.17620953210875107	bound	all	5_5	weight	650	1	5000	5000	all	4_4	275	hoekig	0.2556371354459075
hoekig.foc5.all.weight.bound.min1.soc4.all.10000	-0.16310158208222936	0.20121642536143464	bound	all	5_5	weight	650	1	10000	10000	all	4_4	275	hoekig	0.2492682576876808
hoekig.foc5.all.weight.bound.min1.soc4.all.FOC	-0.17163821192428425	0.2092803042571901	bound	all	5_5	weight	650	1	FOC	650	all	4_4	275	hoekig	0.24447475068782115
hoekig.foc5.all.weight.bound.min1.soc10.all.5000	-0.16290540764819064	0.14154079842117964	bound	all	5_5	weight	650	1	5000	5000	all	10_10	275	hoekig	0.2470023342545456
hoekig.foc5.all.weight.bound.min1.soc10.all.10000	-0.17336333685276095	0.1551415310197156	bound	all	5_5	weight	650	1	10000	10000	all	10_10	275	hoekig	0.24459572629326345
hoekig.foc5.all.weight.bound.min1.soc10.all.FOC	-0.18863550283058736	0.18707437467717644	bound	all	5_5	weight	650	1	FOC	650	all	10_10	275	hoekig	0.2329113163915059
hoekig.foc5.all.selection.bound.min1.soc4.nav.5000	0.07568237524145106	0.38345642242075434	bound	all	5_5	selection	650	1	5000	5000	nav	4_4	275	hoekig	0.2558626473763844
hoekig.foc5.all.selection.bound.min1.soc4.nav.10000	0.09752132049282572	0.4123947560829959	bound	all	5_5	selection	650	1	10000	10000	nav	4_4	275	hoekig	0.2462376598850819
hoekig.foc5.all.selection.bound.min1.soc4.nav.FOC	0.06565075565502995	0.3329638109272291	bound	all	5_5	selection	650	1	FOC	650	nav	4_4	275	hoekig	0.2359603764015042
hoekig.foc5.all.selection.bound.min1.soc10.nav.5000	0.016775098448405912	0.25444325779479543	bound	all	5_5	selection	650	1	5000	5000	nav	10_10	275	hoekig	0.24790912208470856
hoekig.foc5.all.selection.bound.min1.soc10.nav.10000	0.020765296639601864	0.27816542913383896	bound	all	5_5	selection	650	1	10000	10000	nav	10_10	275	hoekig	0.23980713889309718
hoekig.foc5.all.selection.bound.min1.soc10.nav.FOC	-4.079816288948361e-4	0.24840269869967246	bound	all	5_5	selection	650	1	FOC	650	nav	10_10	275	hoekig	0.22623937506555325
hoekig.foc5.all.selection.bound.min1.soc4.all.5000	0.07093715508053709	0.3854774210074833	bound	all	5_5	selection	650	1	5000	5000	all	4_4	275	hoekig	0.26009846571786704
hoekig.foc5.all.selection.bound.min1.soc4.all.10000	0.07826095463541904	0.39397799039404596	bound	all	5_5	selection	650	1	10000	10000	all	4_4	275	hoekig	0.25254546683848256
hoekig.foc5.all.selection.bound.min1.soc4.all.FOC	0.0656507561308	0.3329638125033814	bound	all	5_5	selection	650	1	FOC	650	all	4_4	275	hoekig	0.2359603764015042
