	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
hoopvol/adj/nrc_handelsblad_19991231_49/217/L7	hoopvol/adj/nrc_handelsblad_19991231_49/217	L7	uit	prep	uit/prep	uit	False	L	8	-0.19052705	1135560.0	130.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/L8	hoopvol/adj/nrc_handelsblad_19991231_49/217	L8	Kummer	name	Kummer/name	Kummer	False	L	9			
hoopvol/adj/nrc_handelsblad_19991231_49/217/L9	hoopvol/adj/nrc_handelsblad_19991231_49/217	L9	E.Y.	name	E.Y./name	E.Y.	False	L	10			
hoopvol/adj/nrc_handelsblad_19991231_49/217/L10	hoopvol/adj/nrc_handelsblad_19991231_49/217	L10	van	prep	van/prep	van	False	L	11	-0.15759748	12638933.0	1499.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/L11	hoopvol/adj/nrc_handelsblad_19991231_49/217	L11	vertaling	noun	vertaling/noun	vertaling	False	L	12			
hoopvol/adj/nrc_handelsblad_19991231_49/217/L12	hoopvol/adj/nrc_handelsblad_19991231_49/217	L12	de	det	de/det	de	False	L	13	0.020179255	28074105.0	3976.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/L13	hoopvol/adj/nrc_handelsblad_19991231_49/217	L13	in	prep	in/prep	in	False	L	14	-0.20423470000000002	9492181.0	1072.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/L14	hoopvol/adj/nrc_handelsblad_19991231_49/217	L14	,	punct	,/punct	,	False	L	15			
hoopvol/adj/nrc_handelsblad_19991231_49/217/L15	hoopvol/adj/nrc_handelsblad_19991231_49/217	L15	boek	noun	boek/noun	boek	False	L	16	0.34649515	157857.0	31.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R0	hoopvol/adj/nrc_handelsblad_19991231_49/217	R0	boek	noun	boek/noun	boek	True	R	1	0.34649515	157857.0	31.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R1	hoopvol/adj/nrc_handelsblad_19991231_49/217	R1	;	punct	;/punct	;	True	R	2			
hoopvol/adj/nrc_handelsblad_19991231_49/217/R2	hoopvol/adj/nrc_handelsblad_19991231_49/217	R2	het	det	het/det	het	True	R	3	0.020375496	11650779.0	1651.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R3	hoopvol/adj/nrc_handelsblad_19991231_49/217	R3	heb	verb	heb/verb	heeft	True	R	4	-0.37208167	4034811.0	385.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R4	hoopvol/adj/nrc_handelsblad_19991231_49/217	R4	mij	pron	mij/pron	mij	True	R	5	0.6113239	225916.0	58.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R5	hoopvol/adj/nrc_handelsblad_19991231_49/217	R5	toen	adv	toen/adv	toen	True	R	6	0.016445883	161932.0	23.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R6	hoopvol/adj/nrc_handelsblad_19991231_49/217	R6	voorgoed	adv	voorgoed/adv	voorgoed	True	R	7	0.27370602	5502.0	1.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R7	hoopvol/adj/nrc_handelsblad_19991231_49/217	R7	genees	verb	genees/verb	genezen	True	R	8	1.4364645	5153.0	3.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R8	hoopvol/adj/nrc_handelsblad_19991231_49/217	R8	van	prep	van/prep	van	True	R	9	-0.15759748	12638933.0	1499.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R9	hoopvol/adj/nrc_handelsblad_19991231_49/217	R9	het	det	het/det	het	True	R	10	0.020375496	11650779.0	1651.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R10	hoopvol/adj/nrc_handelsblad_19991231_49/217	R10	toch	adv	toch/adv	toch	True	R	11	1.0520216	466609.0	186.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R11	hoopvol/adj/nrc_handelsblad_19991231_49/217	R11	al	adv	al/adv	al	True	R	12	0.08040897	1066466.0	161.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R12	hoopvol/adj/nrc_handelsblad_19991231_49/217	R12	wankel	adj	wankel/adj	wankele	True	R	13			
hoopvol/adj/nrc_handelsblad_19991231_49/217/R13	hoopvol/adj/nrc_handelsblad_19991231_49/217	R13	vertrouwen	noun	vertrouwen/noun	vertrouwen	True	R	14	1.4170103	42028.0	24.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R14	hoopvol/adj/nrc_handelsblad_19991231_49/217	R14	in	prep	in/prep	in	True	R	15	-0.20423470000000002	9492181.0	1072.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/R15	hoopvol/adj/nrc_handelsblad_19991231_49/217	R15	wereldverbeteraars	noun	wereldverbeteraars/noun	wereldverbeteraars	True	R	16			
