_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
herroepen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1537984432421957	-0.10873492227339597	NA	NA	BOW	nobound	608	all	10_10	1	weight	FOC	608	all	4_4	236	herroepen	0.237962263346676
herroepen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.2739266458090016	0.10182823306949483	NA	NA	BOW	nobound	608	all	10_10	1	selection	5000	5000	nav	4_4	236	herroepen	0.25863841008711697
herroepen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.28849355639338314	0.13496087830974357	NA	NA	BOW	nobound	608	all	10_10	1	selection	5000	5000	all	4_4	236	herroepen	0.28295376053726173
herroepen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.18651131704998453	0.027642434928612753	NA	NA	BOW	nobound	608	all	10_10	1	selection	FOC	340	nav	4_4	236	herroepen	0.2663801259051396
herroepen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.17520656188015973	0.04006945011320537	NA	NA	BOW	nobound	608	all	10_10	1	selection	FOC	608	all	4_4	236	herroepen	0.26959984004760074
herroepen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	0.39793618724141544	0.05146649851831238	NA	NA	BOW	nobound	1372	all	10_10	1	no	5000	5000	nav	4_4	236	herroepen	0.25832526593590965
herroepen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.4814115861638398	0.16975722198294305	NA	NA	BOW	nobound	1372	all	10_10	1	no	5000	5000	all	4_4	236	herroepen	0.264441378282801
herroepen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.3297284508754583	0.01171089398086806	NA	NA	BOW	nobound	1372	all	10_10	1	no	FOC	732	nav	4_4	236	herroepen	0.26643012386607473
herroepen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	0.3501295666098054	0.025086701216490367	NA	NA	BOW	nobound	1372	all	10_10	1	no	FOC	1372	all	4_4	236	herroepen	0.2651768804278908
herroepen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.12846193255009952	-0.01823374166013935	NA	NA	BOW	nobound	384	lex	5_5	1	weight	5000	5000	nav	4_4	234	herroepen	0.2543407672486954
