LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	NA	herinneren.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	nobound	513	lex	5_5	1	no	FOC	513	all	4_4	236	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	nobound	387	all	5_5	1	weight	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	BOW	nobound	387	all	5_5	1	weight	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	nobound	387	all	5_5	1	weight	FOC	173	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	nobound	387	all	5_5	1	weight	FOC	387	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	nobound	387	all	5_5	1	selection	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	BOW	nobound	387	all	5_5	1	selection	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	nobound	387	all	5_5	1	selection	FOC	173	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	nobound	387	all	5_5	1	selection	FOC	387	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	BOW	nobound	758	all	5_5	1	no	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	BOW	nobound	758	all	5_5	1	no	5000	5000	all	4_4	240	herinneren	NA
